City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,kentville,45.0835,-64.4988,14.110000000000014,94,100,0.51,CA,1696907913
170,shenjiamen,29.9576,122.298,21.840000000000032,55,89,6.39,CN,1696907914
171,birigui,-21.2886,-50.34,21.79000000000002,71,10,2.73,BR,1696907894
172,sisimiut,66.9395,-53.6735,-1.0399999999999636,64,99,5.47,GL,1696907714
173,talnakh,69.4865,88.3972,6.230000000000018,99,100,4.86,RU,1696907915
174,thompson,55.7435,-97.8558,0.09000000000003183,93,20,1.54,CA,1696907916
175,sao jose da coroa grande,-8.8978,-35.1478,24.25,83,36,4.49,BR,1696907632
176,sitka,57.0531,-135.33,11.939999999999998,76,75,5.14,US,1696907233
177,kone,-21.0595,164.8658,21.730000000000018,60,94,0.93,NC,1696907918
178,fortuna,40.5982,-124.1573,14.960000000000036,96,100,5.66,US,1696907367
179,udachny,66.4167,112.4,4.140000000000043,93,100,2.72,RU,1696907919
180,smithers,54.7804,-127.1743,10.180000000000007,71,40,1.03,CA,1696907919
181,luwingu,-10.2621,29.9271,18.360000000000014,42,99,1.62,ZM,1696907920
182,minot air force base,48.4209,-101.3391,4.430000000000007,90,0,1.54,US,1696907921
183,ghanzi,-21.5667,21.7833,22.680000000000007,27,61,1.79,BW,1696907921
184,piritiba,-11.7303,-40.5553,20.010000000000048,89,10,2.37,BR,1696907923
185,tual,-5.6667,132.75,26.5,75,97,6.95,ID,1696907924
186,rikaze,29.25,88.8833,11.54000000000002,40,0,1.5,CN,1696907924
187,kencong,-8.2833,113.3667,29.79000000000002,59,38,3.99,ID,1696907925
188,arraial do cabo,-22.9661,-42.0278,21.49000000000001,95,95,6.0,BR,1696907926
189,chaplynka,46.3651,33.5403,6.230000000000018,47,82,1.45,UA,1696907926
190,kralendijk,12.15,-68.2667,28.99000000000001,84,100,6.69,BQ,1696907927
191,ko lanta,7.5336,99.0865,27.930000000000007,78,81,4.4,TH,1696907928
192,souillac,-20.5167,57.5167,21.210000000000036,88,20,1.54,MU,1696907928
193,mount gambier,-37.8333,140.7667,19.189999999999998,45,0,1.9,AU,1696907929
194,chibougamau,49.9168,-74.3659,4.7900000000000205,93,100,5.14,CA,1696907929
195,livingston,55.9029,-3.5226,15.07000000000005,82,40,2.57,GB,1696907930
196,saqqez,36.2499,46.2735,13.340000000000032,41,9,3.19,IR,1696907931
197,motygino,58.1831,94.7592,9.32000000000005,93,100,2.24,RU,1696907771
198,caidian,30.5833,114.0333,21.07000000000005,68,100,1.99,CN,1696907932
199,al burayqah,30.4062,19.5739,22.840000000000032,70,0,3.89,LY,1696907933
200,mount pearl,47.5166,-52.7813,9.520000000000039,98,100,2.57,CA,1696907934
201,tazovsky,67.4667,78.7,4.340000000000032,91,100,6.27,RU,1696907636
